,Date ,Time In ,Time Out ,Details ,id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
3,1-May,9:32,9.53,,MON2_SI_01_table_Page_149,,,,,
4,1-May,11:04,11:06,,MON2_SI_01_table_Page_149,,,,,
5,1-Mar,12:12,12:35,,MON2_SI_01_table_Page_149,,,,,
6,2-May,10:53,11:00,,MON2_SI_01_table_Page_149,,,,,
7,5/4/17,10:32,10:46,,MON2_SI_01_table_Page_149,,,,,
8,5/1/15,10:59,11:15,,MON2_SI_01_table_Page_149,,,,,
9,,,,,MON2_SI_01_table_Page_149,,,,,
10,5/4/17,12:08,12:22,,MON2_SI_01_table_Page_149,,,,,
11,2017,1:34,0.213888889,,MON2_SI_01_table_Page_149,,,,,
12,,12:30/2:00 ,12:30,Small child ,MON2_SI_01_table_Page_149,,,,,
13,5-May,12:52,1:05,Throwing Chairs ,MON2_SI_01_table_Page_149,,,,,
14,8-May,9.45,9:22,,MON2_SI_01_table_Page_149,,,,,
15,,10:09,10:15,,MON2_SI_01_table_Page_149,,,,,
16,8-May,10:19,10:24,Kiking Staff as they ,MON2_SI_01_table_Page_149,,,,,
0,,,,,MON2_SI_01_table_Page_148,,,,,
1,31-Mar,9:00A ,920,not directions ,MON2_SI_01_table_Page_148,,,,,
2,31-Mar,1002,10:23,following ,MON2_SI_01_table_Page_148,,,,,
3,5/3/02,10.45,11:09,,MON2_SI_01_table_Page_148,,,,,
4,31-Mar,12:49,12:58,,MON2_SI_01_table_Page_148,,,,,
5,4-Apr,10:18,10:25,,MON2_SI_01_table_Page_148,,,,,
6,4/H ,10:27,0.676388889,,MON2_SI_01_table_Page_148,,,,,
7,,11:03,11:17,,MON2_SI_01_table_Page_148,,,,,
8,,11.33,11:48,,MON2_SI_01_table_Page_148,,,,,
9,Vit ,12:39,12:53,,MON2_SI_01_table_Page_148,,,,,
10,14/5 ,9:029 ,9:40,cang intrasched writing ,MON2_SI_01_table_Page_148,,,,,
11,5-Apr,1040,10:51,,MON2_SI_01_table_Page_148,,,,,
12,5-Apr,12:16,1232,,MON2_SI_01_table_Page_148,,,,,
13,5-Apr,18,2:04,,MON2_SI_01_table_Page_148,,,,,
14,6-Apr,238,3:00,Rinn ng from staff ,MON2_SI_01_table_Page_148,,,,,
0,8-May,11:00,11.25,Hittery staff many ,MON2_SI_01_table_Page_151,,,,,
1,8-May,1:0pam ,1:099 ,,MON2_SI_01_table_Page_151,,,,,
2,$/9 ,9:26a ,9.43,Adult ,MON2_SI_01_table_Page_151,,,,,
3,9-May,9:30,9:41,Hittery and ,MON2_SI_01_table_Page_151,,,,,
4,,,,Kickig ,MON2_SI_01_table_Page_151,,,,,
5,9-May,1.26,1:37,,MON2_SI_01_table_Page_151,,,,,
6,10-May,8:47,8.56,,MON2_SI_01_table_Page_151,,,,,
7,19-May,12:4c ,1257,Adult,MON2_SI_01_table_Page_151,,,,,
8,10-May,1.55p ,2:09,Adult ,MON2_SI_01_table_Page_151,,,,,
9,2111,8156,9:11,biting a student ,MON2_SI_01_table_Page_151,,,,,
10,11-May,924,9:37,Adult ,MON2_SI_01_table_Page_151,,,,,
11,11-May,10,30,hitstaff ,MON2_SI_01_table_Page_151,,,,,
12,5111,1:14,1:22,hit Start ,MON2_SI_01_table_Page_151,,,,,
13,12-May,8:39,9:09,Adult ,MON2_SI_01_table_Page_151,,,,,
14,<1.2 ,ait ,945,peer ,MON2_SI_01_table_Page_151,,,,,
15,12-May,11.45,18.15,,MON2_SI_01_table_Page_151,,,,,
16,12-May,2:00,2:20,Hit Peer with ,MON2_SI_01_table_Page_151,,,,,
0,31-Jan, ,11:20,,MON2_SI_01_table_Page_141,,,,,
1,31-Jan,11.38,11:44,,MON2_SI_01_table_Page_141,,,,,
2,31-Jan,1:43,,Adult ,MON2_SI_01_table_Page_141,,,,,
3,211,9.2,22-Sep,,MON2_SI_01_table_Page_141,,,,,
4,1-Feb,9:20,9.22,sereance ,MON2_SI_01_table_Page_141,,,,,
5,1-Feb,9:54,10:35,Adult ,MON2_SI_01_table_Page_141,,,,,
6,,11:26,11:45,,MON2_SI_01_table_Page_141,,,,,
7,2/1 21, ,12:52,Aduft ,MON2_SI_01_table_Page_141,,,,,
8,1-Feb,1:25,1:56,,MON2_SI_01_table_Page_141,,,,,
9,2-Feb,9:30a ,9:45,Adult,MON2_SI_01_table_Page_141, ,,,,
10,2-Feb,11:02,1133,,MON2_SI_01_table_Page_141,,,,,
11,1-Feb,9:12,9:28,,MON2_SI_01_table_Page_141,,,,,
12,3-Feb,9:30,9:45,,MON2_SI_01_table_Page_141,,,,,
13,3-Feb,10:26,10:44,,MON2_SI_01_table_Page_141,,,,,
14,6-Feb,9:10a ,, ,MON2_SI_01_table_Page_141,,,,,
15,All 2116 ,,11:35,,MON2_SI_01_table_Page_141,,,,,
16,Mar-00,24,,Auult ,MON2_SI_01_table_Page_141,,,,,
0,11/2k ,11:48,12:14,Adyltg ,MON2_SI_01_table_Page_133,,,,,
1,28-Nov,2:50,3.04,,MON2_SI_01_table_Page_133,,,,,
2,29-Nov,9:24,9:46,,MON2_SI_01_table_Page_133,,,,,
3,29-Nov,11:25,Jan-33,B,MON2_SI_01_table_Page_133,,,,,
4,30-Nov,8:50,923,ustime staff and ,MON2_SI_01_table_Page_133,,,,,
5,11/3C ,9:31,11:30,Hilling staff repead ,MON2_SI_01_table_Page_133,,,,,
6,30-Nov,11,15 pm ,,MON2_SI_01_table_Page_133,,,,,
7,1-Dec,10:3 an ,10:59,Adult,MON2_SI_01_table_Page_133,,,,,
8,1-Dec,10 59 ,,Adult ,MON2_SI_01_table_Page_133,,,,,
9,1/2/02,11.45,,,MON2_SI_01_table_Page_133,,,,,
10,2-Dec,2:06,,,MON2_SI_01_table_Page_133,,,,,
11,12/5/16,8:40,855,Adult ,MON2_SI_01_table_Page_133,,,,,
12,,,,,MON2_SI_01_table_Page_133,,,,,
13,5-Dec,1115,1125,,MON2_SI_01_table_Page_133,,,,,
14,5-Dec,10:25,,F ,MON2_SI_01_table_Page_133,,,,,
15,5-Dec,11.3,,Hitting staff ,MON2_SI_01_table_Page_133,,,,,
16,218,5.05,12:26,,MON2_SI_01_table_Page_133,,,,,
0,2.14.17 ,837,,climb ondest throw thands ,MON2_SI_01_table_Page_144,,,,,
1,2-1407 ,,,,MON2_SI_01_table_Page_144,,,,,
2,214-17 ,11:30,11:44,,MON2_SI_01_table_Page_144,,,,,
3,2/14/17,1:34,1:46,,MON2_SI_01_table_Page_144,,,,,
4,2/14/ ,1:46,1:56,Hitting Kicking ,MON2_SI_01_table_Page_144,,,,,
5,2/16/17,9:46,10:04,,MON2_SI_01_table_Page_144,,,,,
6,2/16/17,10.05p ,10:20am ,Foul language ,MON2_SI_01_table_Page_144,,,,,
7,2/16/19,10:28,10:45,,MON2_SI_01_table_Page_144,,,,,
8,,10:5p ,11:11,,MON2_SI_01_table_Page_144,,,,,
9,2116,11:03,11:17,,MON2_SI_01_table_Page_144,,,,,
10,17-Feb,935,9:44,,MON2_SI_01_table_Page_144,,,,,
11,17-Feb,10:08,10.17,,MON2_SI_01_table_Page_144,,,,,
12,17-Feb,11131,11:22,In a rage hit Student ,MON2_SI_01_table_Page_144,,,,,
13,2/M ,1:15,1:23,adult ,MON2_SI_01_table_Page_144,,,,,
14,227,2:41,2:58,,MON2_SI_01_table_Page_144,,,,,
15,28-Feb,8:40,8:50,idylt ,MON2_SI_01_table_Page_144,,,,,
16,28-Feb,1%,1:43,,MON2_SI_01_table_Page_144,,,,,
0,6/7/17,9:04,9.12,,MON2_SI_01_table_Page_154,,,,,
1,6/7/17,9:15,9:45,,MON2_SI_01_table_Page_154,,,,,
2,6/7/12,11:50,12:03,,MON2_SI_01_table_Page_154,,,,,
3,6/7/17, ,12:04,,MON2_SI_01_table_Page_154,,,,,
4,6 5 ,1:07,1:17,,MON2_SI_01_table_Page_154,,,,,
5,6/5/18,2:34,2.11,,MON2_SI_01_table_Page_154,,,,,
6,6/9/17,10:41,11.1,Hitting ,MON2_SI_01_table_Page_154,,,,,
